ID,CISControlID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,Namespace,Property,ClassName,DefaultValue,RecommendedValue,Operator,Severity,ControlProfile,AutoRemediate,RequiresReboot,SystemImpact,UserImpact,RollbackComplexity,BusinessJustification
SHA034,4.1,Security Options,Network access: Restrict clients allowed to make remote calls to SAM,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,RestrictRemoteSAM,,,,,O:BAG:BAD:(A;;RC;;;BA),=,Medium,All,Yes,No,1,1,2,Restrict remote SAM access
SHA035,4.1,Security Options,Network access: Sharing and security model for local accounts,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,ForceGuest,,,,0,0,=,Medium,All,Yes,No,1,1,2,Use proper authentication model
SHA036,4.1,Security Options,Network security: Allow Local System to use computer identity for NTLM,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,UseMachineId,,,,0,1,=,Medium,All,Yes,No,1,1,2,Use machine identity for NTLM
SHA037,4.1,Security Options,Network security: Allow LocalSystem NULL session fallback,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,allownullsessionfallback,,,,0,0,=,Medium,All,Yes,No,1,1,2,Prevent NULL session fallback
SHA038,4.1,Security Options,Network security: Allow PKU2U authentication requests to this computer to use online identities,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\pku2u,AllowOnlineID,,,,,0,=,Medium,All,Yes,No,1,1,2,Disable PKU2U online identities
SHA039,4.1,Security Options,Network security: Configure encryption types allowed for Kerberos,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters,SupportedEncryptionTypes,,,,2147483644,2147483640,<=,Medium,All,Yes,No,3,2,2,Use strong Kerberos encryption
SHA040,5.2,Security Options,Network security: Do not store LAN Manager hash value on next password change,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,NoLMHash,,,,1,1,=,High,All,Yes,No,1,1,2,Disable weak LM hashes
SHA041,4.1,Security Options,Network security: LAN Manager authentication level,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,LmCompatibilityLevel,,,,3,5,=,Medium,All,Yes,No,3,2,2,Use NTLMv2 only
SHA042,4.1,Security Options,Network security: LDAP client signing requirements,Registry,,HKLM:\System\CurrentControlSet\Services\LDAP,LDAPClientIntegrity,,,,1,1,>=,Medium,All,Yes,No,1,1,2,Require LDAP signing
SHA043,4.1,Security Options,Network security: Minimum session security for NTLM SSP based (including secure RPC) clients,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinClientSec,,,,536870912,537395200,=,Medium,All,Yes,No,3,2,2,Require NTLMv2 and 128-bit encryption
SHA044,4.1,Security Options,Network security: Minimum session security for NTLM SSP based (including secure RPC) servers,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0,NTLMMinServerSec,,,,536870912,537395200,=,Medium,All,Yes,No,3,2,2,Require NTLMv2 and 128-bit encryption
SHA045,5.1,Security Options,User Account Control: Admin Approval Mode for the Built-in Administrator account,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,FilterAdministratorToken,,,,0,1,=,Medium,All,Yes,No,3,2,2,Enable UAC for built-in admin
SHA046,5.1,Security Options,User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorAdmin,,,,5,2,=,Medium,All,Yes,No,3,2,2,Prompt for credentials on elevation
SHA047,5.1,Security Options,User Account Control: Behavior of the elevation prompt for standard users,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorUser,,,,0,0,=,Medium,All,Yes,No,3,2,2,Automatically deny elevation
SHA048,5.1,Security Options,User Account Control: Run all administrators in Admin Approval Mode,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableLUA,,,,1,1,=,Medium,All,Yes,No,3,2,2,Enable UAC for all admins
SHA049,5.1,Security Options,User Account Control: Switch to the secure desktop when prompting for elevation,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,,,,1,1,=,Medium,All,Yes,No,3,2,2,Use secure desktop for UAC
SHA050,4.8,System Services,Print Spooler (Spooler),service,Spooler,,,,,,Automatic,Disabled,=,Medium,Server,Yes,No,5,3,3,Disable print spooler on servers
SHA051,8.2,Advanced Audit Policy Configuration,Audit Credential Validation,auditpol,Credential Validation,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor credential validation
SHA052,8.2,Advanced Audit Policy Configuration,Audit User Account Management,auditpol,User Account Management,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor user account changes
SHA053,8.2,Advanced Audit Policy Configuration,Audit Directory Service Access,auditpol,Directory Service Access,,,,,,No Auditing,Success and Failure,=,Medium,DomainController,Yes,No,1,1,2,Monitor AD access
SHA054,8.2,Advanced Audit Policy Configuration,Audit Logon,auditpol,Logon,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor user logons
SHA055,8.2,Advanced Audit Policy Configuration,Audit File System,auditpol,File System,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor file system access
SHA056,8.2,Advanced Audit Policy Configuration,Audit Policy Change,auditpol,Audit Policy Change,,,,,,No Auditing,Success and Failure,=,High,All,Yes,No,1,1,2,Monitor audit policy modifications
SHA057,8.2,Advanced Audit Policy Configuration,Audit Sensitive Privilege Use,auditpol,Sensitive Privilege Use,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor sensitive privilege usage
SHA058,8.2,Advanced Audit Policy Configuration,Audit Process Creation,auditpol,Process Creation,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor process creation
SHA059,8.2,Advanced Audit Policy Configuration,Audit Security State Change,auditpol,Security State Change,,,,,,No Auditing,Success and Failure,=,High,All,Yes,No,1,1,2,Monitor security state changes
SHA060,8.2,Advanced Audit Policy Configuration,Audit Application Generated,auditpol,Application Generated,,,,,,No Auditing,Success and Failure,=,Low,All,Yes,No,1,1,2,Monitor application events
SHA061,8.2,Advanced Audit Policy Configuration,Audit Authentication Policy Change,auditpol,Authentication Policy Change,,,,,,No Auditing,Success and Failure,=,High,All,Yes,No,1,1,2,Monitor auth policy changes
SHA062,8.2,Advanced Audit Policy Configuration,Audit Authorization Policy Change,auditpol,Authorization Policy Change,,,,,,No Auditing,Success and Failure,=,High,All,Yes,No,1,1,2,Monitor authorization changes
SHA063,8.2,Advanced Audit Policy Configuration,Audit Computer Account Management,auditpol,Computer Account Management,,,,,,No Auditing,Success and Failure,=,Medium,DomainController,Yes,No,1,1,2,Monitor computer accounts
SHA064,8.2,Advanced Audit Policy Configuration,Audit Security Group Management,auditpol,Security Group Management,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor security group changes
SHA065,8.2,Advanced Audit Policy Configuration,Audit Distribution Group Management,auditpol,Distribution Group Management,,,,,,No Auditing,Success and Failure,=,Medium,DomainController,Yes,No,1,1,2,Monitor group changes
SHA066,8.2,Advanced Audit Policy Configuration,Audit File Share,auditpol,File Share,,,,,,No Auditing,Success and Failure,=,Medium,Server,Yes,No,1,1,2,Monitor file share access
SHA067,8.2,Advanced Audit Policy Configuration,Audit Filtering Platform Connection,auditpol,Filtering Platform Connection,,,,,,No Auditing,Success and Failure,=,Low,All,Yes,No,1,1,2,Monitor network connections
SHA068,8.2,Advanced Audit Policy Configuration,Audit Group Membership,auditpol,Group Membership,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor group membership
SHA069,8.2,Advanced Audit Policy Configuration,Audit IPSec Driver,auditpol,IPsec Driver,,,,,,No Auditing,Success and Failure,=,Low,All,Yes,No,1,1,2,Monitor IPSec events
SHA070,8.2,Advanced Audit Policy Configuration,Audit Kerberos Authentication Service,auditpol,Kerberos Authentication Service,,,,,,No Auditing,Success and Failure,=,Medium,DomainController,Yes,No,1,1,2,Monitor Kerberos TGT
SHA071,8.2,Advanced Audit Policy Configuration,Audit Kerberos Service Ticket Operations,auditpol,Kerberos Service Ticket Operations,,,,,,No Auditing,Success and Failure,=,Medium,DomainController,Yes,No,1,1,2,Monitor Kerberos TGS
SHA073,8.2,Advanced Audit Policy Configuration,Audit Logoff,auditpol,Logoff,,,,,,No Auditing,Success,=,Low,All,Yes,No,1,1,2,Monitor logoff events
SHA074,8.2,Advanced Audit Policy Configuration,Audit Other Account Logon Events,auditpol,Other Account Logon Events,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor other auth events
SHA075,8.2,Advanced Audit Policy Configuration,Audit Other Account Management Events,auditpol,Other Account Management Events,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor other account events
SHA076,8.2,Advanced Audit Policy Configuration,Audit Other Logon/Logoff Events,auditpol,Other Logon/Logoff Events,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor other logon events
SHA077,8.2,Advanced Audit Policy Configuration,Audit Other Policy Change Events,auditpol,Other Policy Change Events,,,,,,No Auditing,Success and Failure,=,Medium,All,Yes,No,1,1,2,Monitor other policy changes
SHA078,6.1,User Rights Assignment,Access this computer from the network,accesschk,SeNetworkLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;Everyone,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict network logon rights
SHA079,6.4,User Rights Assignment,Allow log on locally,accesschk,SeInteractiveLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;COMPUTERNAME\Guest,BUILTIN\Users;BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict local logon rights
SHA080,6.4,User Rights Assignment,Allow log on through Remote Desktop Services,accesschk,SeRemoteInteractiveLogonRight,,,,,,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,=,High,All,No,No,7,4,3,Restrict RDP logon to admins only
SHA081,5.1,User Rights Assignment,Back up files and directories,accesschk,SeBackupPrivilege,,,,,,BUILTIN\Administrators;BUILTIN\Backup Operators,BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict backup privilege
SHA082,5.1,User Rights Assignment,Change the system time,accesschk,SeSystemTimePrivilege,,,,,,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,=,Low,All,No,No,3,2,3,Restrict system time changes
SHA083,5.1,User Rights Assignment,Create a token object,accesschk,SeCreateTokenPrivilege,,,,,,,,=,High,All,No,No,8,2,3,Prevent token creation privilege
SHA084,5.1,User Rights Assignment,Debug programs,accesschk,SeDebugPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,High,All,No,No,9,3,4,Restrict debug privilege to admins
SHA085,5.1,User Rights Assignment,Deny access to this computer from the network,accesschk,SeDenyNetworkLogonRight,,,,,,COMPUTERNAME\Guest,BUILTIN\Guests;NT AUTHORITY\Local account,=,Medium,All,No,No,3,2,3,Deny network access to guests
SHA086,5.1,User Rights Assignment,Deny log on as a batch job,accesschk,SeDenyBatchLogonRight,,,,,,,BUILTIN\Guests,=,Medium,All,No,No,3,2,3,Deny batch logon to guests
SHA087,5.1,User Rights Assignment,Deny log on as a service,accesschk,SeDenyServiceLogonRight,,,,,,,BUILTIN\Guests,=,Medium,All,No,No,3,2,3,Deny service logon to guests
SHA088,5.1,User Rights Assignment,Deny log on locally,accesschk,SeDenyInteractiveLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests,=,Medium,All,No,No,3,2,3,Deny local logon to guests
SHA089,5.1,User Rights Assignment,Deny log on through Remote Desktop Services,accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,BUILTIN\Guests;NT AUTHORITY\Local account,=,High,All,No,No,7,3,3,Deny RDP access to guests
SHA090,5.1,User Rights Assignment,Enable computer and user accounts to be trusted for delegation,accesschk,SeEnableDelegationPrivilege,,,,,,,,=,High,DomainController,No,No,7,2,3,Prevent delegation privilege
SHA091,5.1,User Rights Assignment,Force shutdown from a remote system,accesschk,SeRemoteShutdownPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict remote shutdown
SHA092,5.1,User Rights Assignment,Generate security audits,accesschk,SeAuditPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Low,All,No,No,3,2,3,Restrict audit generation
SHA093,5.1,User Rights Assignment,Impersonate a client after authentication,accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,All,No,No,3,2,3,Restrict impersonation privilege
SHA094,5.1,User Rights Assignment,Load and unload device drivers,accesschk,SeLoadDriverPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,High,All,No,No,9,3,4,Restrict driver loading to admins
SHA095,5.1,User Rights Assignment,Lock pages in memory,accesschk,SeLockMemoryPrivilege,,,,,,,,=,Medium,All,No,No,3,2,3,Prevent memory locking privilege
SHA096,5.1,User Rights Assignment,Manage auditing and security log,accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,High,All,No,No,7,2,3,Restrict security log management
SHA097,5.1,User Rights Assignment,Modify firmware environment values,accesschk,SeSystemEnvironmentPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict firmware modification
SHA098,5.1,User Rights Assignment,Perform volume maintenance tasks,accesschk,SeManageVolumePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict volume maintenance
SHA099,5.1,User Rights Assignment,Profile single process,accesschk,SeProfileSingleProcessPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Low,All,No,No,3,2,3,Restrict process profiling
SHA100,5.1,User Rights Assignment,Replace a process level token,accesschk,SeAssignPrimaryTokenPrivilege,,,,,,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,High,All,No,No,3,2,3,Restrict token replacement
SHA101,5.1,User Rights Assignment,Restore files and directories,accesschk,SeRestorePrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict restore privilege
SHA102,5.1,User Rights Assignment,Shut down the system,accesschk,SeShutdownPrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators,BUILTIN\Users;BUILTIN\Administrators,=,Low,All,No,No,3,2,3,Allow shutdown for users and admins
SHA103,5.1,User Rights Assignment,Take ownership of files or other objects,accesschk,SeTakeOwnershipPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,All,No,No,3,2,3,Restrict ownership privilege
SHA104,4.8,System Services,Remote Registry Service,service,RemoteRegistry,,,,,,Automatic,Disabled,=,High,All,Yes,No,3,2,2,Disable remote registry access
SHA105,4.8,System Services,Print Spooler Service,service,Spooler,,,,,,Automatic,Disabled,=,Medium,Endpoint,Yes,No,3,2,2,Disable print spooler on endpoints
SHA106,4.8,System Services,Remote Desktop Services,service,TermService,,,,,,Manual,Disabled,=,Medium,All,Yes,No,9,8,4,Disable remote desktop by default
SHA107,4.8,System Services,Remote Access Auto Connection Manager,service,RasAuto,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable automatic VPN connections
SHA108,4.8,System Services,SSDP Discovery Service,service,SSDPSRV,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable UPnP discovery service
SHA109,4.8,System Services,UPnP Device Host Service,service,upnphost,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable UPnP device hosting
SHA110,9.4,System Services,Windows Error Reporting Service,service,WerSvc,,,,,,Manual,Disabled,=,Low,All,Yes,No,1,1,2,Disable error reporting for privacy
SHA111,4.8,System Services,Windows Media Player Network Sharing,service,WMPNetworkSvc,,,,,,Manual,Disabled,=,Low,All,Yes,No,1,1,2,Disable media sharing service
SHA112,9.4,System Services,Windows Push Notifications Service,service,WpnService,,,,,,Automatic,Disabled,=,Low,All,Yes,No,1,1,2,Disable push notifications
SHA113,4.8,System Services,Peer Name Resolution Protocol,service,PNRPsvc,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable peer networking protocol
SHA114,4.8,System Services,Peer Networking Grouping,service,p2psvc,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable peer networking
SHA115,4.8,System Services,Peer Networking Identity Manager,service,p2pimsvc,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable peer identity manager
SHA116,4.8,System Services,PNRP Machine Name Publication,service,PNRPAutoReg,,,,,,Manual,Disabled,=,Medium,All,Yes,No,3,2,2,Disable machine name publication
SHA117,4.8,System Services,Xbox Accessory Management,service,XboxGipSvc,,,,,,Manual,Disabled,=,Low,Endpoint,Yes,No,1,1,2,Disable Xbox services on endpoints
SHA118,4.8,System Services,Xbox Live Auth Manager,service,XblAuthManager,,,,,,Manual,Disabled,=,Low,Endpoint,Yes,No,1,1,2,Disable Xbox authentication
SHA119,4.8,System Services,Xbox Live Game Save,service,XblGameSave,,,,,,Manual,Disabled,=,Low,Endpoint,Yes,No,1,1,2,Disable Xbox game save service
SHA120,4.8,System Services,Xbox Live Networking Service,service,XboxNetApiSvc,,,,,,Manual,Disabled,=,Low,Endpoint,Yes,No,1,1,2,Disable Xbox networking
SHA121,4.4,Windows Firewall,Enable Windows Firewall Domain Profile,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,EnableFirewall,,,,0,1,=,High,All,Yes,No,7,5,3,Enable firewall for domain profile
SHA122,4.4,Windows Firewall,Domain Profile Default Inbound Action,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DefaultInboundAction,,,,1,1,=,Medium,All,Yes,No,7,5,3,Block inbound connections by default
SHA123,8.3,Windows Firewall,Domain Profile Log File Size,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,All,Yes,No,7,5,3,Increase firewall log file size
SHA124,8.2,Windows Firewall,Domain Profile Log Dropped Packets,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,All,Yes,No,7,5,3,Log dropped packets for monitoring
SHA125,4.4,Windows Firewall,Enable Windows Firewall Private Profile,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,EnableFirewall,,,,0,1,=,High,All,Yes,No,7,5,3,Enable firewall for private profile
SHA126,4.4,Windows Firewall,Private Profile Default Inbound Action,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DefaultInboundAction,,,,1,1,=,Medium,All,Yes,No,7,5,3,Block inbound connections by default
SHA127,8.2,Windows Firewall,Private Profile Log File Size,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium,All,Yes,No,7,5,3,Increase firewall log file size
SHA128,8.2,Windows Firewall,Private Profile Log Dropped Packets,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium,All,Yes,No,7,5,3,Log dropped packets for monitoring
SHA129,4.4,Windows Firewall,Enable Windows Firewall Public Profile,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,EnableFirewall,,,,0,1,=,High,All,Yes,No,7,5,3,Enable firewall for public profile
SHA130,4.4,Windows Firewall,Public Profile Default Inbound Action,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultInboundAction,,,,1,1,=,Medium,All,Yes,No,7,5,3,Block inbound connections by default
